isqno,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,duration1,wofa,wofd,terra1,terra2,terra3,wx1,wx2,wx3,wx4,wx5,attacker_str,attacker_instst,attacker_rerp,attacker_cas,attacker_finst,attacker_cav,attacker_tank,attacker_lt,attacker_mbt,attacker_arty,attacker_fly,attacker_ctank,attacker_carty,cfly_x,attacker_pri1,attacker_pri2,attacker_pri3,attacker_sec1,attacker_sec2,attacker_sec3,attacker_reso1,attacker_reso2,attacker_reso3,attacker_ach,defender_str,defender_instst,defender_rerp,defender_cas,defender_finst,defender_cav,defender_tank,defender_lt,defender_mbt,defender_arty,defender_fly,defender_ctank,defender_carty,cfly_y,defender_pri1,defender_pri2,defender_pri3,defender_sec1,defender_sec2,defender_sec3,defender_reso1,defender_reso2,defender_reso3,defender_ach,att_comm1,att_comm2,def_comm1,def_comm2,def_comm3
367,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.2,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2.0,6.4,6.4,R,M,,D,S,T,F,T,26000.0,,,4700.0,21300.0,0.0,72.0,72.0,0.0,192.0,,,,,FF,,,,,,PP,SS,,6,13000.0,,,4000.0,9000.0,0.0,0.0,0.0,0.0,202.0,,0.0,25.0,,DO,EE,RF,,,0,RR,WD,,5,MG LEJEUNE,Missing,GEN NIDDA,Missing,Missing
368,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,0.6,0.6,R,M,,D,S,T,F,T,1921.0,1921.0,0.0,247.0,1674.0,0.0,3.0,3.0,0.0,12.0,,0.0,0.0,,FF,,,,,,PP,,,8,155.0,155.0,0.0,83.0,72.0,0.0,0.0,0.0,0.0,50.0,,0.0,3.0,,DD,,,,,0,WL,,,2,LCOL ARNOLD,Missing,MAJ DOERSTLING,Missing,Missing
369,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,0.8,0.8,R,M,,D,S,T,F,T,1420.0,1420.0,0.0,140.0,1280.0,0.0,3.0,3.0,0.0,17.0,,0.0,0.0,,EE,LF,,,,,BB,,,8,216.0,216.0,0.0,120.0,96.0,0.0,0.0,0.0,0.0,8.0,,0.0,8.0,,DD,,,,,0,WL,,,4,COL HUNT,Missing,MAJ WEBENDOERFER,Missing,Missing
370,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1.0,1.3,1.3,R,M,,D,S,T,F,T,1400.0,1400.0,0.0,308.0,1092.0,0.0,12.0,12.0,0.0,96.0,,0.0,0.0,,FF,,,,,,PP,,,7,458.0,458.0,0.0,241.0,217.0,0.0,0.0,0.0,0.0,20.0,,0.0,2.0,,DD,,,,,0,WL,,,3,COL LEE,Missing,MAJ GRUNDELL,Missing,Missing
371,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,,,1.0,1.5,1.5,R,W,,D,S,T,F,T,9230.0,9230.0,0.0,620.0,8610.0,0.0,24.0,24.0,0.0,96.0,,0.0,,,FF,,,,,,PP,,,8,670.0,670.0,0.0,450.0,220.0,0.0,0.0,0.0,0.0,28.0,,0.0,4.0,,DD,,,,,0,WL,,,2,Missing,Missing,MAJ DOERSTLING,Missing,Missing
372,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,2,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,4.0,4.0,R,M,,D,S,T,F,T,18000.0,18000.0,0.0,1589.0,16411.0,0.0,,,,144.0,,,,,FF,,,,,,RR,SS,,6,10000.0,10000.0,0.0,500.0,9500.0,0.0,0.0,0.0,0.0,177.0,,0.0,,,DO,,,,,0,SS,,,6,MG SMITH,Missing,MG HAMMERSTEIN,Missing,Missing
373,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,16.8,2,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,104.0,104.0,R,M,,D,O,T,F,T,500000.0,500000.0,,77448.0,,0.0,,,,,,,,,FF,,,,,,PP,SS,,7,300000.0,300000.0,,75068.0,,0.0,,,,,,,700.0,,DO,FF,,,,0,WD,SS,,5,GEN FOCH,Missing,GEN LUDENDORFF,Missing,Missing
374,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,2,,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.5,0.9,0.9,R,M,,D,O,T,F,T,5336.0,5336.0,0.0,352.0,4984.0,0.0,11.0,11.0,0.0,36.0,,,,,FF,,,,,,PP,RR,SS,5,3245.0,3245.0,0.0,192.0,3053.0,0.0,0.0,0.0,0.0,35.0,,0.0,,,DO,FF,,,,0,PP,SS,,5,COL HUNT,Missing,COL SCHONSTADT,Missing,Missing
375,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,2,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,R,M,,D,O,T,F,T,5427.0,5427.0,0.0,376.0,5051.0,0.0,13.0,13.0,0.0,36.0,,13.0,,,FF,,,,,,PP,SS,,5,1899.0,1899.0,0.0,114.0,1785.0,0.0,0.0,0.0,0.0,18.0,,0.0,,,DD,,,,,0,SS,,,5,COL ERICKSON,Missing,CPT KAESBACH,Missing,Missing
376,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,2,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,1.0,R,M,,D,O,T,F,T,5365.0,5365.0,0.0,340.0,5025.0,0.0,13.0,13.0,0.0,36.0,,,,,FF,,,,,,PP,SS,,6,1940.0,1940.0,0.0,61.0,1879.0,0.0,0.0,0.0,0.0,20.0,,0.0,,,DD,,,,,0,SS,,,5,COL BARNHARDT,Missing,CPT GACKENHOLZ,Missing,Missing
